Date,Close,High,Low,Open,Volume,Dividends,Stock Splits
2025-05-16,110.70374298095703,111.86349560134364,110.09990701540644,111.67180373333343,3406000,0.0,0.0
2025-05-19,109.21810150146484,109.8698640669825,108.01042961358053,109.50564660576632,2864000,0.0,0.0
2025-05-20,107.90499114990234,109.57273365334143,107.76121860540793,109.33311518337588,2336500,0.0,0.0
2025-05-21,106.75482940673828,108.48008549814223,106.53438448607766,108.17337411662332,3198500,0.0,0.0
2025-05-22,106.18933868408203,106.81234826623152,104.13820484444635,105.82512118513112,3050900,0.0,0.0
2025-05-23,105.60466003417969,106.00721733789722,104.77078506569976,104.77078506569976,1993300,0.0,0.0
2025-05-27,106.61106872558594,106.8602667063467,104.88581256029198,106.01681219918991,2475100,0.0,0.0
2025-05-28,105.86344146728516,108.02000778582486,105.49922401045903,108.02000778582486,2260600,0.0,0.0
2025-05-29,105.31710815429688,106.41935458773341,104.82829173659472,105.87302476421449,3421100,0.0,0.0
2025-05-30,104.06151580810547,104.96248365549432,102.99760914525399,103.99442292452817,5536300,0.0,0.0
2025-06-02,106.71649169921875,107.16697564943888,105.14459492349934,106.49604677415974,4151400,0.0,0.0
2025-06-03,108.1350326538086,109.16059950589475,105.59507517899303,106.73566153963526,3279200,0.0,0.0
2025-06-04,106.170166015625,109.77403044751655,106.170166015625,108.26922649973741,3333900,0.0,0.0
2025-06-05,106.41935729980469,107.42575783262839,105.84427441500927,107.27239849664262,2697500,0.0,0.0
2025-06-06,109.31395721435547,109.93695943345791,108.0104320538695,108.0104320538695,3055900,0.0,0.0
2025-06-09,109.58232116699219,110.49286843387469,108.48007473531966,109.45771488173482,3647600,0.0,0.0
2025-06-10,112.98491668701172,114.55681352043149,111.18298813256325,111.50886579463919,4952200,0.0,0.0
2025-06-11,114.94020080566406,115.5727971583462,112.30439729464106,114.01047985176373,3893000,0.0,0.0
2025-06-12,115.58236694335938,115.74531306793804,113.54082011850433,114.30760218245754,3318600,0.0,0.0
2025-06-13,120.0776138305664,120.65269673108084,117.41305745187476,120.039273995522,7915200,0.0,0.0
2025-06-16,118.06482696533203,119.6846503564774,116.60794971085146,118.26610562671956,5142500,0.0,0.0
2025-06-17,119.46418762207031,120.72937289145224,118.50571371155141,119.41626100151412,4563500,0.0,0.0
2025-06-18,118.63990020751953,121.46740264857695,118.02647748600094,119.80923955559423,4553000,0.0,0.0
2025-06-20,120.11595916748047,120.72938193113691,118.65908193194045,118.84118701602286,11229400,0.0,0.0
2025-06-23,116.92424011230469,122.50255844731363,116.47375616653122,121.59201108091175,5080000,0.0,0.0
2025-06-24,115.66864013671875,117.1926102540629,114.8251856672996,115.86033200758524,3980900,0.0,0.0
2025-06-25,114.8443374633789,116.1478624962901,114.31717391603422,115.24689472903745,2799000,0.0,0.0
2025-06-26,116.0999526977539,116.12871306024623,114.49930287676652,115.0168797129841,2705300,0.0,0.0
2025-06-27,115.78366088867188,116.10953853515547,114.91144604794891,115.97535276159444,4187900,0.0,0.0
2025-06-30,114.64305877685547,115.40025400242537,113.91461659702269,115.01686299658837,3491200,0.0,0.0
2025-07-01,116.15746307373047,116.58877343634892,113.17660843408434,114.98812365720356,3680300,0.0,0.0
2025-07-02,117.77728271484375,118.14150751559572,115.65905604826362,118.0839941029328,3460500,0.0,0.0
2025-07-03,118.03606414794922,118.57280720056686,116.93381768268745,117.7676926216404,1437200,0.0,0.0
2025-07-07,114.64305877685547,117.58557322934851,113.1670081575569,117.10633630019606,3692400,0.0,0.0
